PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
323,9159,-30.5,-70.5,1,0.01,276,23,335.1,335.2,335.1
300,9680,-34.7,-54.7,11,0.08,310,30,336.4,336.7,336.4
296.8,9754,-35.3,-54.3,13,0.08,310,33,336.6,336.9,336.6
265,10529,-41.3,-50.3,37,0.14,285,43,338.8,339.5,338.9
259.6,10668,-42.3,-52,34,0.12,280,45,339.4,339.9,339.4
250,10920,-44.1,-55.1,28,0.09,285,43,340.4,340.8,340.4
236.8,11278,-46.7,-60,21,0.05,300,40,341.7,341.9,341.7
206.2,12192,-53.5,-72.4,8,0.01,295,26,344.9,345,344.9
206,12199,-53.5,-72.5,8,0.01,295,26,345,345,345
200,12390,-54.3,-78.3,4,0,300,24,346.6,346.6,346.6
178.6,13106,-58.8,-82.1,3,0,325,15,350.7,350.7,350.7
170,13417,-60.7,-83.7,3,0,322,18,352.5,352.5,352.5
162,13716,-61.9,-83,4,0,320,21,355.3,355.3,355.3
154.2,14021,-63.2,-82.3,6,0,335,26,358.2,358.2,358.2
150,14190,-63.9,-81.9,7,0,340,23,359.8,359.8,359.8
146.7,14326,-64.3,-82.2,7,0,355,19,361.4,361.4,361.4
139.4,14630,-65.3,-83,7,0,5,14,364.9,364.9,364.9
132.6,14935,-66.3,-83.8,7,0,5,11,368.5,368.5,368.5
126,15240,-67.2,-84.6,7,0,35,11,372.1,372.1,372.1
113.9,15850,-69.2,-86.2,7,0,65,11,379.4,379.4,379.4
112,15952,-69.5,-86.5,7,0,50,11,380.7,380.7,380.7
108.3,16154,-68.9,-86.8,6,0,40,12,385.6,385.6,385.6
104,16395,-68.1,-87.1,5,0,155,5,391.5,391.5,391.5
102.9,16459,-68.1,-87.1,5,0,185,3,392.7,392.7,392.7
100,16630,-68.1,-87.1,5,0,190,3,395.9,395.9,395.9
97.6,16776,-67.3,-86.3,5,0,200,2,400.2,400.2,400.2
92.9,17069,-69.2,-86.5,7,0,220,1,402.1,402.1,402.1
88.3,17374,-71.2,-86.8,8,0,305,8,404,404,404
86.8,17476,-71.9,-86.9,9,0,320,11,404.6,404.6,404.6
83.9,17678,-70,-86.9,7,0,350,16,412.3,412.4,412.3
79.8,17983,-67.1,-87,5,0,0,17,424.2,424.2,424.2
75.9,18288,-64.3,-87.1,3,0,10,15,436.4,436.4,436.4
74.3,18413,-63.1,-87.1,3,0,43,13,441.5,441.5,441.5
72.2,18593,-63.4,-87.4,3,0,90,9,444.5,444.6,444.5
70,18780,-63.7,-87.7,3,0,110,9,447.8,447.8,447.8
65.3,19202,-63.9,-87.1,3,0,180,2,456.3,456.3,456.3
64,19330,-63.9,-86.9,3,0,129,4,458.9,459,458.9
62.2,19507,-63,-87,3,0,60,6,464.6,464.6,464.6
59.2,19812,-61.5,-87.3,2,0,145,8,474.5,474.6,474.5
56.4,20117,-60,-87.5,2,0,25,10,484.6,484.7,484.6
54,20386,-58.7,-87.7,1,0,43,20,493.7,493.8,493.7
53.7,20422,-58.7,-87.7,1,0,45,21,494.5,494.5,494.5
50,20870,-59.1,-87.1,2,0,60,16,503.8,503.8,503.8
47.1,21244,-59.7,-86.7,2,0,64,13,511,511.1,511
46.4,21336,-59.4,-86.7,2,0,65,12,513.9,513.9,513.9
44.2,21641,-58.4,-86.7,2,0,75,18,523.4,523.4,523.4
40.2,22250,-56.5,-86.6,1,0.01,65,21,542.9,543,542.9
36.5,22855,-54.5,-86.5,1,0.01,85,17,563,563.1,563
34.8,23165,-54.5,-86.5,1,0.01,95,15,570.9,570.9,570.9
31.6,23774,-54.5,-86.5,1,0.01,55,15,586.6,586.7,586.6
30,24110,-54.5,-86.5,1,0.01,70,19,595.5,595.5,595.5
25,25298,-52.7,-85.6,1,0.01,100,27,632.8,632.9,632.8
20.7,26518,-50.8,-84.7,1,0.01,80,22,673.5,673.7,673.5
20,26730,-50.5,-84.5,1,0.02,85,21,680.8,681,680.8
18,27432,-49.9,-84.4,1,0.02,80,20,704,704.2,704
16.4,28042,-49.4,-84.3,1,0.02,90,11,724.8,725,724.8
16.2,28105,-49.3,-84.3,1,0.02,88,11,727,727.2,727
14.9,28651,-46.9,-83.8,1,0.02,75,11,752.1,752.4,752.1
14.2,28956,-45.6,-83.6,1,0.03,45,10,766.5,766.9,766.6
13.6,29263,-44.3,-83.3,1,0.03,60,20,781.3,781.7,781.3
13,29566,-44.6,-83.2,1,0.03,75,29,790.3,790.7,790.3
11.3,30480,-45.7,-82.9,1,0.04,95,25,818.1,818.5,818.1
10.8,30785,-46.1,-82.8,1,0.04,105,26,827.5,828,827.6
10,31310,-46.7,-82.7,1,0.04,105,32,844.1,844.7,844.1
9.9,31394,-46.9,-82.8,1,0.04,105,34,846.6,847.2,846.6
9.5,31651,-47.3,-83.3,1,0.04,108,34,854.3,854.8,854.3
8.6,32309,-44.8,-82.4,1,0.05,115,33,888.2,888.9,888.2
7.5,33223,-41.3,-81.2,1,0.07,75,24,937.2,938.3,937.3
7.2,33528,-40.2,-80.8,1,0.08,85,22,954.2,955.3,954.2
7,33710,-39.5,-80.5,1,0.09,100,20,964.4,965.7,964.4
